fold,held_out,scenario,model,seed,n_test_windows,test_censored_share,wis_mean,wis_median,fit_seconds,utc
loto_hot,HOT_T03,S4_random_uniform,CLQR,42,12417,0.2537649869918823,0.07102138549089432,0.04793015494942665,37.6,2026-08-05T05:26:14.089900+00:00
loto_hot,HOT_T03,S4_random_uniform,CLQR,123,12417,0.2537649869918823,0.07148944586515427,0.04676617309451103,49.6,2026-08-05T05:27:03.876574+00:00
loto_hot,HOT_T04,S1_fixed_50pct,B0_persistence,fixed,12397,0.29507139325141907,0.17096794440391574,0.10894927382469177,0.0,2026-08-05T05:27:05.844234+00:00
loto_hot,HOT_T04,S1_fixed_50pct,B4,42,12397,0.29507139325141907,0.13982048630714417,0.061822064220905304,82.7,2026-08-05T05:28:28.723524+00:00
loto_hot,HOT_T04,S1_fixed_50pct,B4,123,12397,0.29507139325141907,0.13405409455299377,0.06129710376262665,91.4,2026-08-05T05:30:00.287307+00:00
loto_hot,HOT_T04,S1_fixed_50pct,B6,42,12397,0.29507139325141907,0.06904108822345734,0.05379468947649002,87.8,2026-08-05T05:31:28.300866+00:00
loto_hot,HOT_T04,S1_fixed_50pct,B6,123,12397,0.29507139325141907,0.06889129430055618,0.05313607305288315,95.3,2026-08-05T05:33:03.855899+00:00
loto_hot,HOT_T04,S1_fixed_50pct,CLQR,42,12397,0.29507139325141907,0.08216279000043869,0.05082185938954353,56.1,2026-08-05T05:34:00.124806+00:00
loto_hot,HOT_T04,S1_fixed_50pct,CLQR,123,12397,0.29507139325141907,0.08370598405599594,0.050812024623155594,73.3,2026-08-05T05:35:13.598807+00:00
loto_hot,HOT_T04,S4_random_uniform,B0_persistence,fixed,12397,0.2520771026611328,0.15906642535499307,0.10450643301010132,0.0,2026-08-05T05:35:15.575052+00:00
loto_hot,HOT_T04,S4_random_uniform,B4,42,12397,0.2520771026611328,0.1153683289885521,0.06021417677402496,95.2,2026-08-05T05:36:51.028560+00:00
loto_hot,HOT_T04,S4_random_uniform,B4,123,12397,0.2520771026611328,0.11373802274465561,0.06025925651192665,98.4,2026-08-05T05:38:29.581878+00:00
loto_hot,HOT_T04,S4_random_uniform,B6,42,12397,0.2520771026611328,0.06898477673530579,0.05354106053709984,66.5,2026-08-05T05:39:36.298895+00:00
loto_hot,HOT_T04,S4_random_uniform,B6,123,12397,0.2520771026611328,0.06894544512033463,0.053150568157434464,95.3,2026-08-05T05:41:11.784456+00:00
loto_hot,HOT_T04,S4_random_uniform,CLQR,42,12397,0.2520771026611328,0.0782531350851059,0.052190110087394714,54.4,2026-08-05T05:42:06.302639+00:00
loto_hot,HOT_T04,S4_random_uniform,CLQR,123,12397,0.2520771026611328,0.07694557309150696,0.05036763474345207,59.9,2026-08-05T05:43:06.354859+00:00
loto_hot,HOT_T05,S1_fixed_50pct,B0_persistence,fixed,11610,0.2665805220603943,0.16148876864928352,0.10571014881134033,0.0,2026-08-05T05:43:08.401430+00:00
loto_hot,HOT_T05,S1_fixed_50pct,B4,42,11610,0.2665805220603943,0.12351636588573456,0.05854065716266632,92.5,2026-08-05T05:44:41.096569+00:00
loto_hot,HOT_T05,S1_fixed_50pct,B4,123,11610,0.2665805220603943,0.12416563183069229,0.05877254158258438,92.0,2026-08-05T05:46:13.248434+00:00
loto_hot,HOT_T05,S1_fixed_50pct,B6,42,11610,0.2665805220603943,0.07071476429700851,0.05385063961148262,95.2,2026-08-05T05:47:48.672494+00:00
loto_hot,HOT_T05,S1_fixed_50pct,B6,123,11610,0.2665805220603943,0.0708470419049263,0.053548309952020645,79.1,2026-08-05T05:49:07.939642+00:00
loto_hot,HOT_T05,S1_fixed_50pct,CLQR,42,11610,0.2665805220603943,0.08225610852241516,0.05007532238960266,38.8,2026-08-05T05:49:46.850451+00:00
loto_hot,HOT_T05,S1_fixed_50pct,CLQR,123,11610,0.2665805220603943,0.08412657678127289,0.0498209223151207,65.1,2026-08-05T05:50:52.099105+00:00
loto_hot,HOT_T05,S4_random_uniform,B0_persistence,fixed,11610,0.22058570384979248,0.15085294013690528,0.10205231606960297,0.0,2026-08-05T05:50:53.977073+00:00
loto_hot,HOT_T05,S4_random_uniform,B4,42,11610,0.22058570384979248,0.10359988361597061,0.05751488357782364,91.1,2026-08-05T05:52:25.231920+00:00
loto_hot,HOT_T05,S4_random_uniform,B4,123,11610,0.22058570384979248,0.10476844012737274,0.05672987550497055,90.9,2026-08-05T05:53:56.281213+00:00
loto_hot,HOT_T05,S4_random_uniform,B6,42,11610,0.22058570384979248,0.07068364322185516,0.05399516969919205,96.0,2026-08-05T05:55:32.459251+00:00
loto_hot,HOT_T05,S4_random_uniform,B6,123,11610,0.22058570384979248,0.07091334462165833,0.05352133512496948,85.3,2026-08-05T05:56:57.888908+00:00
loto_hot,HOT_T05,S4_random_uniform,CLQR,42,11610,0.22058570384979248,0.07741880416870117,0.050077151507139206,51.4,2026-08-05T05:57:49.447005+00:00
loto_hot,HOT_T05,S4_random_uniform,CLQR,123,11610,0.22058570384979248,0.0788097009062767,0.050413794815540314,48.5,2026-08-05T05:58:38.140866+00:00
loto_hot,HOT_T07,S1_fixed_50pct,B0_persistence,fixed,12644,0.3199145793914795,0.17954336441505309,0.11375001072883606,0.0,2026-08-05T05:58:40.545278+00:00
loto_hot,HOT_T07,S1_fixed_50pct,B4,42,12644,0.3199145793914795,0.14292950928211212,0.06258857995271683,93.3,2026-08-05T06:00:14.020858+00:00
loto_hot,HOT_T07,S1_fixed_50pct,B4,123,12644,0.3199145793914795,0.1462133377790451,0.06246337667107582,89.6,2026-08-05T06:01:43.798422+00:00
loto_hot,HOT_T07,S1_fixed_50pct,B6,42,12644,0.3199145793914795,0.06541326642036438,0.05104106664657593,100.6,2026-08-05T06:03:24.584763+00:00
loto_hot,HOT_T07,S1_fixed_50pct,B6,123,12644,0.3199145793914795,0.06534435600042343,0.05152052640914917,103.0,2026-08-05T06:05:07.855879+00:00
loto_hot,HOT_T07,S1_fixed_50pct,CLQR,42,12644,0.3199145793914795,0.08055577427148819,0.049772754311561584,88.1,2026-08-05T06:06:36.100363+00:00
